-----------EB Tester Software-----------
Device:EBD-A20H
Mode:D-CC  0.12A  2.00V
Begin Volt:3.351V
Cutoff Volt:1.999V
Capacity:682mAh
Energy:2194mWh
Avg Volt:3.22V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.000,3.351
0,0.000,3.351
1,0.120,3.337
3,0.120,3.337
5,0.120,3.336
7,0.120,3.333
9,0.120,3.329
11,0.120,3.329
13,0.120,3.329
15,0.120,3.329
17,0.120,3.329
19,0.120,3.327
21,0.120,3.322
23,0.120,3.322
25,0.120,3.322
27,0.120,3.322
29,0.120,3.322
31,0.120,3.321
33,0.120,3.321
35,0.120,3.321
37,0.120,3.319
39,0.120,3.317
41,0.120,3.315
43,0.120,3.315
45,0.120,3.315
47,0.120,3.315
49,0.120,3.315
51,0.120,3.315
53,0.120,3.315
55,0.120,3.314
57,0.120,3.314
59,0.120,3.314
61,0.120,3.312
63,0.120,3.309
65,0.120,3.308
67,0.120,3.308
69,0.120,3.308
71,0.120,3.308
73,0.120,3.308
75,0.120,3.308
77,0.120,3.308
79,0.120,3.308
81,0.120,3.308
83,0.120,3.308
85,0.120,3.308
87,0.120,3.308
89,0.120,3.307
91,0.120,3.307
93,0.120,3.307
95,0.120,3.307
97,0.120,3.307
99,0.120,3.307
101,0.120,3.307
103,0.120,3.306
105,0.120,3.305
107,0.120,3.303
109,0.120,3.301
111,0.120,3.300
113,0.120,3.300
115,0.120,3.300
117,0.120,3.300
119,0.120,3.300
121,0.120,3.300
123,0.120,3.300
125,0.120,3.300
127,0.120,3.300
129,0.120,3.300
131,0.120,3.300
133,0.120,3.300
135,0.120,3.300
137,0.120,3.300
139,0.120,3.300
141,0.120,3.300
143,0.120,3.300
145,0.120,3.300
147,0.120,3.300
149,0.120,3.299
151,0.120,3.299
153,0.120,3.299
155,0.120,3.299
157,0.120,3.299
159,0.120,3.299
161,0.120,3.299
163,0.120,3.299
165,0.120,3.299
167,0.120,3.299
169,0.120,3.299
171,0.120,3.299
173,0.120,3.299
175,0.120,3.299
177,0.120,3.299
179,0.120,3.298
181,0.120,3.298
183,0.120,3.297
185,0.120,3.296
187,0.120,3.295
189,0.120,3.294
191,0.120,3.294
193,0.120,3.294
195,0.120,3.293
197,0.120,3.293
199,0.120,3.293
201,0.120,3.293
203,0.120,3.293
205,0.120,3.293
